Word,Start Time (s),End Time (s),Confidence
Hey,0.0,0.3,0.635
"there,",0.3,0.62,0.992
wonderful,0.68,1.16,0.994
humans.,1.16,1.62,0.999
Today,2.86,3.02,1.0
I'm,3.02,3.36,0.989
here,3.36,3.48,1.0
to,3.48,3.64,1.0
prove,3.64,3.82,1.0
I'm,3.82,4.12,0.981
absolutely,4.12,4.44,0.987
not,4.44,4.78,0.995
a,4.78,4.96,0.999
badly,4.96,5.3,0.998
animated,5.3,5.66,1.0
PNG,5.66,6.26,0.976
pretending,6.26,6.68,0.968
to,6.68,6.94,1.0
have,6.94,7.12,1.0
feelings.,7.12,7.4,1.0
"Actually,",8.62,8.9,1.0
this,9.12,9.44,1.0
script,9.44,9.74,1.0
has,9.74,9.96,1.0
8,9.96,10.16,0.945
"emotions,",10.16,10.56,0.999
12,10.72,11.14,0.999
"postures,",11.14,11.68,1.0
4,11.78,12.02,1.0
"modes,",12.02,12.3,1.0
and,12.42,12.66,1.0
I,12.66,12.76,1.0
agreed,12.76,12.94,0.928
to,12.94,13.14,1.0
all,13.14,13.28,1.0
of,13.28,13.42,1.0
this.,13.42,13.62,1.0
Why,14.68,14.82,1.0
do,14.82,14.96,1.0
I,14.96,15.12,1.0
do,15.12,15.26,1.0
this,15.26,15.46,1.0
to,15.46,15.6,1.0
myself?,15.6,15.88,1.0
So,17.22,17.36,1.0
this,17.36,17.52,0.999
is,17.52,17.76,1.0
"me,",17.76,17.98,1.0
being,18.06,18.48,1.0
totally,18.48,18.86,1.0
calm.,18.86,19.22,1.0
Look,20.3,20.5,1.0
at,20.5,20.7,1.0
this,20.7,20.88,1.0
calmness.,20.88,21.4,1.0
Doctors,22.52,22.84,0.999
hate,22.84,23.2,1.0
it.,23.2,23.44,1.0
"Behold,",24.18,24.84,1.0
boredom.,24.98,25.62,1.0
This,25.74,26.74,0.681
is,26.74,26.92,0.998
my,26.92,27.12,0.999
default,27.12,27.44,0.999
mode,27.44,27.82,0.996
during,27.82,28.04,0.964
long,28.04,28.36,0.996
meetings,28.36,28.64,0.995
and,28.64,28.9,0.978
lectures,28.9,29.24,0.996
starting,29.24,29.64,0.856
with,29.64,29.9,0.999
according,29.9,30.16,0.817
to,30.16,30.5,0.999
the,30.5,30.64,0.999
syllabus,30.64,30.92,0.995
Whoa!,32.16,32.4,0.537
Something,32.56,33.84,0.726
actually,33.84,34.36,0.999
interesting,34.36,34.82,1.0
Oh,36.06,36.14,1.0
"yes,",36.14,36.46,0.996
because,36.6,37.0,1.0
obviously,37.0,37.38,1.0
the,37.38,37.72,1.0
world,37.72,38.04,1.0
was,38.04,38.24,1.0
waiting,38.24,38.52,1.0
for,38.52,38.76,1.0
another,38.76,39.02,1.0
creatively,39.02,39.52,0.998
edited,39.52,40.02,1.0
video,40.02,40.43,1.0
Revolutionary,40.43,42.54,0.994
"Wait,",43.66,43.84,1.0
where,43.98,44.22,1.0
did,44.22,44.32,1.0
I,44.32,44.48,1.0
go?,44.48,44.72,1.0
Wow!,45.8,46.08,0.999
Editor,46.22,47.36,0.687
moved,47.36,47.74,0.976
me,47.74,48.0,1.0
to,48.0,48.12,0.999
side,48.12,48.36,0.998
like,48.36,48.58,1.0
an,48.58,48.72,1.0
unnecessary,48.72,49.12,0.999
variable,49.12,49.88,0.998
Dude!,51.1,51.24,0.99
A,51.5,52.52,0.922
potato?,52.52,52.9,0.989
Really?,53.14,54.4,0.693
this,54.5,55.62,0.327
is,55.62,55.82,0.997
why,55.82,56.06,0.982
editors,56.06,56.36,0.906
should,56.36,56.72,0.942
not,56.72,56.92,0.97
have,56.92,57.2,0.957
freedom,57.2,57.48,0.942
you,58.58,58.72,0.986
know,58.72,58.96,1.0
what,58.96,59.14,0.999
hurts,59.14,59.46,0.998
the,60.34,60.68,0.999
potato,60.68,61.04,1.0
got,61.04,61.32,0.979
more,61.32,61.56,0.981
screen,61.56,61.8,0.823
time,61.8,62.12,0.965
than,62.12,62.34,0.842
me,62.34,62.52,0.997
that's,63.66,64.04,0.998
it,64.04,64.2,1.0
editor,65.04,65.38,0.999
stop,65.38,65.9,0.495
adding,65.9,66.22,0.991
sound,66.22,66.52,0.991
effects,66.52,66.86,0.998
every,66.86,67.16,0.825
time,67.16,67.42,1.0
I,67.42,67.58,0.816
blink,67.58,67.8,0.978
I,68.9,69.04,1.0
don't,69.04,69.36,1.0
need,69.36,69.46,0.978
a,69.46,69.56,0.999
whoosh,69.56,69.88,0.957
for,69.88,69.96,0.999
existing,69.96,70.32,1.0
okay,71.56,71.82,0.61
deep,71.82,72.26,0.916
breaths,72.26,72.68,0.997
maybe,73.8,74.08,1.0
the,74.08,74.26,1.0
audience,74.26,74.64,1.0
still,74.64,75.0,0.998
respects,75.0,75.34,0.999
me,75.34,75.76,1.0
no,76.86,77.02,1.0
but,78.18,78.24,0.999
okay,78.24,78.62,1.0
cool,78.62,79.2,0.951
cool,79.2,79.48,0.999
cool,79.48,79.74,1.0
and,80.94,81.06,0.997
that,81.06,81.36,1.0
dear,81.36,81.64,0.994
viewers,81.64,82.08,0.999
is,82.08,82.5,0.932
the,82.5,82.64,1.0
power,82.64,82.98,0.999
of,82.98,83.16,0.999
editing,83.16,83.44,0.999
emotions,83.6,84.92,0.605
done,84.92,85.94,0.777
postures,87.6,88.08,0.998
done,88.08,88.94,0.877
random,90.5,90.82,0.995
potato,90.82,91.28,0.994
cameo,91.28,91.9,0.995
extremely,92.96,93.4,0.999
done,93.4,93.8,0.999
if,94.92,95.02,0.849
you,95.02,95.18,1.0
still,95.18,95.44,1.0
didn't,95.44,95.82,0.993
hire,95.82,96.02,0.978
this,96.02,96.26,0.96
editor,96.26,96.54,0.959
you're,96.58,97.0,0.987
probably,97.0,97.32,1.0
the,97.32,97.56,0.999
potato,97.56,97.86,0.999
