Word,Start Time (s),End Time (s),Emotion,Character,Mode,Body Posture,Background,Intensity
Hey,0.0,0.3,angry,character1,big_center,cross_hands,green,False
"there,",0.3,0.62,angry,character1,big_center,cross_hands,green,False
wonderful,0.68,1.16,angry,character1,big_center,cross_hands,green,False
humans.,1.16,1.62,angry,character1,big_center,cross_hands,green,False
Today,2.86,3.02,angry,character1,big_center,cross_hands,green,False
I'm,3.02,3.36,angry,character1,big_center,cross_hands,green,False
here,3.36,3.48,angry,character1,big_center,cross_hands,green,False
to,3.48,3.64,angry,character1,big_center,cross_hands,green,False
prove,3.64,3.82,angry,character1,big_center,cross_hands,green,False
I'm,3.82,4.12,angry,character1,big_center,cross_hands,green,False
absolutely,4.12,4.44,angry,character1,big_center,cross_hands,green,False
not,4.44,4.78,angry,character1,big_center,cross_hands,green,False
a,4.78,4.96,angry,character1,big_center,cross_hands,green,False
badly,4.96,5.3,angry,character1,big_center,cross_hands,green,False
animated,5.3,5.66,angry,character1,big_center,cross_hands,green,False
PNG,5.66,6.26,angry,character1,big_center,cross_hands,green,False
pretending,6.26,6.68,angry,character1,big_center,cross_hands,green,False
to,6.68,6.94,angry,character1,big_center,cross_hands,green,False
have,6.94,7.12,angry,character1,big_center,cross_hands,green,False
feelings.,7.12,7.4,angry,character1,big_center,cross_hands,green,False
"Actually,",8.62,8.9,angry,character1,big_center,cross_hands,green,False
this,9.12,9.44,angry,character1,big_center,cross_hands,green,False
script,9.44,9.74,angry,character1,big_center,cross_hands,green,False
has,9.74,9.96,angry,character1,big_center,cross_hands,green,False
8,9.96,10.16,angry,character1,big_center,cross_hands,green,False
"emotions,",10.16,10.56,angry,character1,big_center,cross_hands,green,False
12,10.72,11.14,angry,character1,big_center,cross_hands,green,False
"postures,",11.14,11.68,angry,character1,big_center,cross_hands,green,False
4,11.78,12.02,angry,character1,big_center,cross_hands,green,False
"modes,",12.02,12.3,angry,character1,big_center,cross_hands,green,False
and,12.42,12.66,angry,character1,big_center,cross_hands,green,False
I,12.66,12.76,angry,character1,big_center,cross_hands,green,False
agreed,12.76,12.94,angry,character1,big_center,cross_hands,green,False
to,12.94,13.14,angry,character1,big_center,cross_hands,green,False
all,13.14,13.28,angry,character1,big_center,cross_hands,green,False
of,13.28,13.42,angry,character1,big_center,cross_hands,green,False
this.,13.42,13.62,angry,character1,big_center,cross_hands,green,False
