Frame,Word,Start Time (s),End Time (s),Assigned_Phoneme,starting_frame,end_frame,Frame_Range,Phonemes,Emotion,Character,Mode,Body Posture,Intensity,Background,Head_Direction,Eye_Direction,Head_Tilt,Zoom_Level,Blink,media
0,Hey,0.0,0.3,HH,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
1,Hey,0.0,0.3,HH,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
2,Hey,0.0,0.3,HH,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
3,Hey,0.0,0.3,HH,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
4,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
5,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
6,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
7,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
8,"there,",0.3,0.62,DH,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
8,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
9,Hey,0.0,0.3,EY1,0,9,0-9,"['HH', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
9,"there,",0.3,0.62,DH,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
10,"there,",0.3,0.62,DH,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
11,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
12,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
