Mode,Start_Time,End_Time,Words,Duration,media
big_center,0.0,7.4,"Hey there, wonderful humans. Today I'm here to prove I'm absolutely not a badly animated PNG pretending to have feelings.",7.4,
big_side,8.62,13.62,"Actually, this script has 8 emotions, 12 postures, 4 modes, and I agreed to all of this.",5.0,chunk_1_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
big_center,14.68,17.36,Why do I do this to myself? So,2.68,
big_side,17.36,19.22,"this is me, being totally calm.",1.86,chunk_3_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
small_side,20.3,30.92,"Look at this calmness. Doctors hate it. Behold, boredom. This is my default mode during long meetings and lectures starting with according to the syllabus",10.62,chunk_4_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
big_side,32.16,42.54,"Whoa! Something actually interesting Oh yes, because obviously the world was waiting for another creatively edited video Revolutionary",10.380000000000004,chunk_5_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
big_center,43.66,44.72,"Wait, where did I go?",1.0600000000000025,
small_side,45.8,57.48,Wow! Editor moved me to side like an unnecessary variable Dude! A potato? Really? this is why editors should not have freedom,11.68,chunk_7_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
big_center,58.58,83.44,you know what hurts the potato got more screen time than me that's it editor stop adding sound effects every time I blink I don't need a whoosh for existing okay deep breaths maybe the audience still respects me no but okay cool cool cool and that dear viewers is the power of editing,24.86,
big_side,83.6,93.8,emotions done postures done random potato cameo extremely done,10.200000000000005,chunk_9_HD-wallpaper-tekken-jin-kazama-jin-kazama.jpg
big_center,94.92,97.86,if you still didn't hire this editor you're probably the potato,2.9399999999999977,
